Bias Mitigator,Classifier,bal_acc,avg_odds_diff,disp_imp,stat_par_diff,eq_opp_diff,theil_ind
None,Logistic Regression,0.6981487040361877,-0.033658501942758906,0.8387595880973658,-0.06356904860093798,-0.005952380952380931,0.07884716949663251
Reweighing,Logistic Regression,0.6993439944268554,0.027403749693986457,0.9879158853743211,-0.004322002396277225,0.05714285714285716,0.07870704269227896
Disparate Impact Remover,Logistic Regression,0.6989671652667728,-0.01505159758487784,0.8166484340253368,-0.055440441340147445,0.025000000000000022,0.07939560647402022
Prejudice Remover,Logistic Regression,0.6896734933913303,0.044510737852401755,1.0171257974822754,0.005075075490324488,0.08373015873015877,0.08117195844828533
Adversarial Debias,GD(No Debias),0.5381652327901782,0.005682149080905318,0.8928924204042208,-0.0031869565299910176,0.014682539682539686,0.0776776582515495
Adversarial Debias,GD(Debased),0.5273392293126267,0.006068433934689997,1.0150299889981191,0.00022965001283816767,0.011904761904761904,0.0764493294165378
