Bias Mitigator,Classifier,bal_acc,avg_odds_diff,disp_imp,stat_par_diff,eq_opp_diff,theil_ind
None,Logistic Regression,0.6283689173509648,0.04635547511219704,1.1057255130268686,0.048437731122352556,0.05479320249871655,0.24443506682193286
Reweighing,Logistic Regression,0.6274511517415804,0.0030125071755282007,1.0112263908949954,0.005184389316018945,0.010134082664567057,0.2548590174030559
Disparate Impact Remover,Logistic Regression,0.6303025283511337,0.06673401536525003,1.146401249499291,0.06890910520898808,0.07449465670411959,0.23128848214503941
Prejudice Remover,Logistic Regression,0.6207896056319391,0.012529544598076925,1.0310307518110502,0.014417674004799763,0.02141245600910613,0.2554686567688743
Adversarial Debias,GD(No Debias),0.5898240150173645,0.04643074137532971,1.1261170726657925,0.04760527395431524,0.05587840178512632,0.3138996340819848
Adversarial Debias,GD(Debased),0.5897101188936216,0.079947217084097,1.1777961856345915,0.08065766975021027,0.09516997726122989,0.2637695704674615
